iter	MAE
0	6.381762207
1	6.362569726
2	6.349309614
3	6.340168625
4	6.334231107
5	6.328097953
6	6.322319512
7	6.31966125
8	6.31703741
9	6.314441885
10	6.312614188
11	6.310179038
12	6.30879771
13	6.307183676
14	6.30582898
15	6.304017007
16	6.30313174
17	6.301900339
18	6.300812552
19	6.300254511
20	6.299255087
21	6.298688442
22	6.297723441
23	6.296475945
24	6.295989346
25	6.295144645
26	6.294230843
27	6.293573684
28	6.292902085
29	6.292045027
30	6.290931207
31	6.289897614
32	6.289202452
33	6.288345008
34	6.287698895
35	6.287089964
36	6.286479287
37	6.285757249
38	6.28535358
39	6.284598446
40	6.284005385
41	6.283643554
42	6.283378949
43	6.282658983
44	6.282241659
45	6.281767518
46	6.281423026
47	6.280364312
48	6.279742679
49	6.279098186
50	6.278432419
51	6.278110533
52	6.277715006
53	6.277574539
54	6.27674866
55	6.276457771
56	6.275971344
57	6.275513627
58	6.274939165
59	6.274518727
60	6.273936739
61	6.273512867
62	6.273124488
63	6.272543923
64	6.271720266
65	6.27091263
66	6.27040063
67	6.269942002
68	6.268903173
69	6.26848735
70	6.268033515
71	6.267555592
72	6.266635403
73	6.266109089
74	6.26571026
75	6.265111537
76	6.264517095
77	6.263862565
78	6.263563399
79	6.262828553
80	6.262517998
81	6.262140019
82	6.261222738
83	6.260660007
84	6.260118664
85	6.259378464
86	6.25882039
87	6.258123008
88	6.257575853
89	6.257154537
90	6.25667508
91	6.256572434
92	6.256221688
93	6.255848064
94	6.255407074
95	6.25461483
96	6.254008291
97	6.253684356
98	6.253278468
99	6.252781283
100	6.252416846
101	6.251874024
102	6.251447412
103	6.250794674
104	6.250445576
105	6.249968398
106	6.249448364
107	6.24887332
108	6.248279973
109	6.247921893
110	6.247250674
111	6.246883314
112	6.246485627
113	6.245996573
114	6.24535983
115	6.244854628
116	6.244097735
117	6.24364888
118	6.243167657
119	6.242725246
120	6.242413604
121	6.241826519
122	6.241313114
123	6.241019359
124	6.240510743
125	6.240111357
126	6.239807724
127	6.239363774
128	6.239076343
129	6.238647855
130	6.238075951
131	6.237725186
132	6.23738957
133	6.236894896
134	6.236690288
135	6.236227912
136	6.236058319
137	6.235707447
138	6.23521643
139	6.234899595
140	6.234683192
141	6.234266853
142	6.233681288
143	6.233135376
144	6.232457607
145	6.231990955
146	6.231586535
147	6.231039707
148	6.230545597
149	6.229999967
150	6.22971342
151	6.229346335
152	6.229114115
153	6.228737796
154	6.228425997
155	6.22778313
156	6.227376639
157	6.226997479
158	6.226751774
159	6.226297771
160	6.226093833
161	6.225523403
162	6.225086909
163	6.224699075
164	6.224129591
165	6.223475643
166	6.222713532
167	6.222427209
168	6.222024584
169	6.22174448
170	6.221441992
171	6.221120499
172	6.22081072
173	6.220315261
174	6.22002162
175	6.219575429
176	6.219472029
177	6.219056719
178	6.218531027
179	6.218079789
180	6.21780479
181	6.217329016
182	6.217022941
183	6.216812745
184	6.216440473
185	6.216161748
186	6.215785132
187	6.215294344
188	6.214960335
189	6.214493056
190	6.214137954
191	6.213628228
192	6.213280378
193	6.212886275
194	6.212385148
195	6.212075503
196	6.211757085
197	6.211132895
198	6.210647906
199	6.210443735
200	6.210120042
201	6.209588803
202	6.209292586
203	6.208835477
204	6.208610848
205	6.208399916
206	6.207929743
207	6.20755449
208	6.207222913
209	6.20676242
210	6.206494501
211	6.205966649
212	6.205820025
213	6.205325141
214	6.204855604
215	6.204671523
216	6.204392487
217	6.204073155
218	6.203830238
219	6.203629253
220	6.203115153
221	6.202801768
222	6.202476807
223	6.20210083
224	6.201844252
225	6.20151697
226	6.201185893
227	6.200861022
228	6.200604828
229	6.200438771
230	6.2001784
231	6.199686309
232	6.199353255
233	6.199019529
234	6.198593142
235	6.198348023
236	6.198018017
237	6.197730455
238	6.197338458
239	6.196913863
240	6.196599669
241	6.196349389
242	6.195928784
243	6.195500123
244	6.195324731
245	6.194867948
246	6.194519565
247	6.194295251
248	6.193846097
249	6.193388551
250	6.193178659
251	6.19278722
252	6.192400295
253	6.191934339
254	6.191483801
255	6.191187271
256	6.19084041
257	6.19037752
258	6.19008804
259	6.189710344
260	6.18926228
261	6.189005663
262	6.188807131
263	6.188511076
264	6.18829027
265	6.188107346
266	6.187819973
267	6.187475926
268	6.187309948
269	6.18698853
270	6.186899217
271	6.186670052
272	6.186525776
273	6.186238032
274	6.185989465
275	6.185711517
276	6.185346551
277	6.185171272
278	6.184781994
279	6.184381506
280	6.18403088
281	6.183683485
282	6.18336851
283	6.183057269
284	6.182883504
285	6.182685739
286	6.182469495
287	6.18215761
288	6.181927219
289	6.181644487
290	6.181494973
291	6.180941684
292	6.180756623
293	6.180443186
294	6.18006303
295	6.179719842
296	6.179515545
297	6.179127266
298	6.178802695
299	6.178483489
300	6.178246163
301	6.177670716
302	6.177119105
303	6.176868097
304	6.176495962
305	6.176032833
306	6.17570315
307	6.175391199
308	6.175012346
309	6.174585909
310	6.174132182
311	6.173821292
312	6.173577167
313	6.173490282
314	6.173166964
315	6.172822534
316	6.172535378
317	6.172132057
318	6.172018241
319	6.171908608
320	6.171779441
321	6.171550107
322	6.171432215
323	6.171114388
324	6.171014477
325	6.170715509
326	6.170508024
327	6.170279386
328	6.170003534
329	6.169876438
330	6.169635021
331	6.169462505
332	6.169204348
333	6.168798937
334	6.168591442
335	6.16835159
336	6.168303623
337	6.168143829
338	6.167974483
339	6.167707282
340	6.167305574
341	6.167092493
342	6.166888933
343	6.166420227
344	6.166226905
345	6.166048182
346	6.165704643
347	6.165528779
348	6.165297812
349	6.164708569
350	6.164494392
351	6.16436605
352	6.164102181
353	6.163913673
354	6.163490278
355	6.163309996
356	6.163129735
357	6.162905572
358	6.162517567
359	6.16225577
360	6.161999139
361	6.161829482
362	6.161365513
363	6.161130206
364	6.160948448
365	6.160739175
366	6.160414271
367	6.160056836
368	6.15976453
369	6.159551285
370	6.159377361
371	6.158907757
372	6.158512609
373	6.15815881
374	6.157826798
375	6.157377534
376	6.15723037
377	6.156796827
378	6.156481971
379	6.156122469
380	6.155867082
381	6.155723114
382	6.15549992
383	6.155099618
384	6.154945443
385	6.154546088
386	6.154278264
387	6.154206001
388	6.153992564
389	6.153621266
390	6.153178158
391	6.153065023
392	6.152939816
393	6.152714051
394	6.152468416
395	6.152200049
396	6.152038481
397	6.151728891
398	6.151435117
399	6.151119575
400	6.150950564
401	6.150813388
402	6.150277591
403	6.149731023
404	6.149505894
405	6.149432399
406	6.149010774
407	6.148629875
408	6.14839382
409	6.148287695
410	6.148087552
411	6.147921686
412	6.147594529
413	6.1472166
414	6.146924716
415	6.146658497
416	6.146419531
417	6.146145985
