iter	Passed	Remaining
0	59	59787
1	116	58053
2	176	58812
3	251	62520
4	317	63130
5	384	63636
6	474	67344
7	555	68923
8	637	70225
9	723	71616
10	798	71753
11	877	72279
12	961	72994
13	1041	73351
14	1115	73225
15	1189	73150
16	1265	73182
17	1337	72965
18	1421	73398
19	1494	73234
20	1577	73559
21	1649	73320
22	1729	73481
23	1834	74599
24	1927	75160
25	2036	76296
26	2117	76310
27	2204	76537
28	2288	76639
29	2369	76628
30	2438	76233
31	2508	75869
32	2587	75830
33	2659	75552
34	2742	75612
35	2825	75647
36	2910	75757
37	3012	76261
38	3101	76428
39	3186	76483
40	3264	76357
41	3337	76120
42	3419	76108
43	3500	76046
44	3570	75771
45	3651	75720
46	3732	75679
47	3810	75576
48	3893	75562
49	3963	75313
50	4034	75070
51	4116	75046
52	4194	74941
53	4275	74895
54	4355	74832
55	4431	74697
56	4509	74596
57	4587	74509
58	4663	74374
59	4738	74234
60	4819	74181
61	4899	74125
62	4979	74064
63	5057	73971
64	5136	73889
65	5216	73816
66	5287	73631
67	5367	73569
68	5440	73403
69	5516	73290
70	5587	73109
71	5664	73009
72	5734	72824
73	5813	72748
74	5892	72671
75	5963	72507
76	6046	72483
77	6149	72695
78	6220	72522
79	6299	72444
80	6373	72309
81	6454	72253
82	6534	72195
83	6623	72222
84	6697	72091
85	6786	72127
86	6876	72165
87	6960	72138
88	7046	72129
89	7131	72107
90	7215	72078
91	7299	72043
92	7383	72008
93	7455	71857
94	7528	71715
95	7666	72195
96	7748	72135
97	7829	72059
98	7909	71983
99	7980	71826
100	8053	71687
101	8137	71642
102	8216	71556
103	8294	71459
104	8374	71380
105	8453	71293
106	8523	71137
107	8601	71045
108	8687	71014
109	8779	71035
110	8864	70995
111	8939	70874
112	9017	70786
113	9098	70715
114	9176	70620
115	9254	70527
116	9327	70393
117	9406	70309
118	9485	70227
119	9563	70129
120	9648	70089
121	9730	70030
122	9792	69820
123	9889	69863
124	9977	69844
125	10066	69823
126	10148	69761
127	10226	69664
128	10309	69607
129	10394	69563
130	10477	69504
131	10552	69389
132	10627	69279
133	10701	69157
134	10783	69095
135	10866	69035
136	10942	68931
137	11027	68885
138	11144	69033
139	11275	69262
140	11403	69470
141	11536	69707
142	11649	69816
143	11766	69942
144	11862	69949
145	11942	69854
146	12040	69869
147	12135	69862
148	12246	69945
149	12351	69992
150	12506	70315
151	12634	70489
152	12738	70518
153	12848	70581
154	12997	70857
155	13124	71008
156	13229	71035
157	13347	71130
158	13452	71156
159	13557	71176
160	13655	71161
161	13739	71073
162	13843	71086
163	13973	71230
164	14080	71258
165	14200	71346
166	14351	71587
167	14495	71787
168	14663	72100
169	14736	71948
170	14831	71901
171	14933	71890
172	15037	71884
173	15152	71929
174	15261	71945
175	15360	71915
176	15471	71935
177	15660	72321
178	15842	72664
179	15988	72838
180	16096	72834
181	16180	72724
182	16303	72786
183	16399	72726
184	16523	72793
185	16640	72823
186	16753	72839
187	16854	72795
188	16957	72765
189	17071	72776
190	17190	72812
191	17304	72822
192	17410	72800
193	17515	72769
194	17632	72789
195	17734	72746
196	17881	72889
197	18003	72923
198	18118	72929
199	18235	72941
200	18366	73010
201	18486	73030
202	18599	73022
203	18738	73116
204	18825	73004
205	18940	73002
206	19065	73039
207	19169	72993
208	19263	72907
209	19400	72981
210	19492	72889
211	19598	72846
212	19728	72894
213	19849	72903
214	19971	72918
215	20141	73105
216	20241	73035
217	20437	73311
218	20558	73315
219	20672	73293
220	20793	73293
221	20897	73233
222	21022	73249
223	21134	73215
224	21269	73261
225	21390	73257
226	21514	73262
227	21656	73329
228	21770	73295
229	21892	73291
230	21993	73215
231	22109	73190
232	22242	73219
233	22362	73202
234	22489	73211
235	22602	73170
236	22712	73119
237	22874	73238
238	23016	73287
239	23130	73245
240	23248	73218
241	23390	73265
242	23507	73229
243	23639	73245
244	23750	73191
245	23860	73133
246	23982	73112
247	24099	73076
248	24231	73084
249	24358	73074
250	24506	73129
251	24603	73029
252	24708	72953
253	24831	72930
254	24974	72965
255	25078	72885
256	25178	72791
257	25285	72718
258	25383	72622
259	25470	72493
260	25581	72432
261	25679	72334
262	25761	72191
263	25857	72088
264	25958	71997
265	26052	71887
266	26148	71787
267	26242	71677
268	26359	71631
269	26444	71497
270	26531	71369
271	26636	71292
272	26738	71204
273	26827	71082
274	26924	70983
275	27008	70848
276	27095	70722
277	27169	70563
278	27265	70459
279	27424	70521
280	27571	70547
281	27665	70438
282	27771	70359
283	27858	70236
284	27951	70124
285	28042	70009
286	28136	69899
287	28218	69762
288	28333	69705
289	28438	69624
290	28537	69529
291	28631	69422
292	28715	69289
293	28820	69208
294	28923	69122
295	29028	69040
296	29122	68932
297	29210	68811
298	29314	68727
299	29429	68668
300	29527	68571
301	29635	68495
302	29728	68384
303	29800	68228
304	29892	68116
305	30003	68046
306	30100	67945
307	30184	67818
308	30284	67723
309	30374	67608
310	30456	67474
311	30545	67356
312	30650	67275
313	30728	67133
314	30816	67014
315	30920	66928
316	31030	66856
317	31137	66778
318	31225	66660
319	31344	66607
320	31454	66534
321	31550	66433
322	31648	66334
323	31755	66255
324	31852	66155
325	31954	66066
326	32044	65951
327	32149	65867
328	32243	65761
329	32328	65636
330	32427	65540
331	32509	65410
332	32619	65336
333	32716	65237
334	32806	65122
335	32886	64990
336	32979	64883
337	33068	64767
338	33159	64655
339	33260	64564
340	33325	64402
341	33408	64277
342	33490	64149
343	33590	64055
344	33694	63971
345	33785	63859
346	33886	63769
347	33992	63687
348	34082	63575
349	34172	63463
350	34257	63342
351	34335	63209
352	34443	63130
353	34524	63001
354	34619	62901
355	34695	62763
356	34789	62660
357	34885	62559
358	34976	62451
359	35056	62321
360	35157	62232
361	35270	62161
362	35426	62166
363	35525	62072
364	35602	61937
365	35676	61799
366	35763	61684
367	35854	61576
368	35959	61490
369	36055	61391
370	36142	61276
371	36233	61168
372	36321	61054
373	36418	60956
374	36514	60858
375	36598	60738
376	36704	60654
377	36836	60613
378	36941	60529
379	37030	60418
380	37110	60292
381	37197	60177
382	37289	60072
383	37370	59947
384	37451	59825
385	37535	59707
386	37620	59590
387	37716	59490
388	37808	59385
389	37901	59282
390	37987	59167
391	38070	59048
392	38165	58947
393	38248	58828
394	38331	58709
395	38429	58615
396	38521	58510
397	38622	58419
398	38727	58334
399	38879	58319
400	39008	58270
401	39160	58253
402	39291	58205
403	39460	58214
404	39572	58137
405	39691	58071
406	39808	58000
407	39911	57911
408	40002	57802
409	40095	57697
410	40204	57617
411	40309	57529
412	40434	57470
413	40564	57417
414	40683	57349
415	40814	57296
416	40923	57214
417	41053	57160
418	41203	57133
419	41316	57056
420	41451	57008
421	41614	56998
422	41740	56937
423	41878	56891
424	41995	56817
425	42151	56796
426	42283	56740
427	42416	56687
428	42542	56623
429	42696	56597
430	42823	56534
431	42948	56469
432	43061	56387
433	43173	56304
434	43286	56222
435	43410	56154
436	43511	56057
437	43619	55968
438	43710	55857
439	43812	55761
440	43910	55659
441	43993	55538
442	44089	55435
443	44191	55338
444	44286	55233
445	44376	55122
446	44470	55016
447	44556	54899
448	44665	54811
449	44755	54700
450	44844	54589
451	44936	54480
452	45047	54394
453	45163	54315
454	45277	54233
455	45378	54135
456	45478	54036
457	45572	53930
458	45664	53822
459	45769	53729
460	45872	53634
461	45967	53529
462	46064	53426
463	46164	53327
464	46258	53221
465	46355	53119
466	46450	53014
467	46546	52911
468	46644	52810
469	46752	52720
470	46864	52635
471	46958	52530
472	47046	52417
473	47131	52302
474	47220	52191
475	47315	52086
476	47412	51985
477	47577	51956
478	47684	51865
479	47790	51772
480	47884	51666
481	47976	51559
482	48081	51466
483	48183	51368
484	48293	51280
485	48387	51175
486	48482	51071
487	48581	50971
488	48680	50870
489	48770	50761
490	48859	50650
491	48962	50554
492	49048	50440
493	49145	50339
494	49265	50260
495	49367	50164
496	49458	50055
497	49563	49961
498	49659	49858
499	49756	49756
500	49845	49646
501	49955	49557
502	50052	49455
503	50140	49344
504	50231	49236
505	50340	49147
506	50447	49054
507	50550	48958
508	50647	48856
509	50749	48759
510	50842	48653
511	50946	48558
512	51054	48467
513	51155	48368
514	51245	48260
515	51341	48157
516	51455	48071
517	51571	47987
518	51676	47892
519	51771	47789
520	51875	47693
521	51973	47592
522	52056	47477
523	52155	47378
524	52253	47277
525	52350	47174
526	52448	47074
527	52550	46976
528	52651	46878
529	52747	46776
530	52847	46676
531	52934	46566
532	53029	46462
533	53125	46360
534	53217	46254
535	53305	46145
536	53408	46048
537	53499	45942
538	53594	45838
539	53762	45797
540	53876	45710
541	53962	45599
542	54065	45503
543	54156	45395
544	54247	45289
545	54352	45193
546	54454	45096
547	54537	44983
548	54644	44890
549	54738	44786
550	54853	44698
551	54964	44609
552	55062	44507
553	55164	44410
554	55259	44307
555	55363	44210
556	55461	44110
557	55540	43994
558	55643	43897
559	55746	43800
560	55830	43689
561	55931	43590
562	56036	43495
563	56115	43379
564	56206	43274
565	56326	43190
566	56432	43095
567	56539	43001
568	56642	42905
569	56752	42813
570	56852	42714
571	56949	42612
572	57048	42512
573	57143	42409
574	57233	42303
575	57309	42186
576	57391	42073
577	57485	41970
578	57578	41865
579	57659	41753
580	57754	41650
581	57843	41544
582	57942	41444
583	58029	41336
584	58123	41232
585	58207	41123
586	58304	41021
587	58388	40912
588	58483	40809
589	58570	40701
590	58670	40602
591	58756	40494
592	58847	40389
593	58968	40304
594	59077	40212
595	59187	40120
596	59288	40022
597	59406	39935
598	59506	39836
599	59599	39732
600	59694	39630
601	59795	39532
602	59886	39427
603	59976	39322
604	60069	39219
605	60160	39114
606	60252	39009
607	60343	38905
608	60438	38803
609	60543	38707
610	60639	38606
611	60727	38500
612	60821	38397
613	60918	38297
614	61018	38198
615	61117	38099
616	61212	37997
617	61306	37895
618	61407	37797
619	61515	37702
620	61619	37606
621	61711	37503
622	61815	37406
623	61897	37297
624	61997	37198
625	62091	37096
626	62181	36991
627	62262	36881
628	62349	36775
629	62437	36669
630	62527	36565
631	62614	36458
632	62700	36352
633	62799	36253
634	62893	36151
635	62984	36047
636	63081	35947
637	63171	35843
638	63275	35746
639	63446	35688
640	63539	35585
641	63616	35474
642	63706	35370
643	63791	35263
644	63874	35155
645	63956	35047
646	64040	34940
647	64122	34831
648	64210	34726
649	64296	34621
650	64372	34510
651	64459	34404
652	64544	34298
653	64637	34196
654	64721	34090
655	64806	33983
656	64884	33874
657	64972	33770
658	65068	33669
